Participant-ID,Type,First-Name,Last-Name,Email,Perc_Effort,Attendance,Perc_Academic,CompleteYears,House
37906,Participant,Zayden,Coleman,Zayden.Coleman@school.edu,55,80.0,78,9,Astral
37979,Participant,Dennis,Lutz,Dennis.Lutz@school.edu,43,93.0,75,9,Redwood
37966,Participant,Ezekiel,Gonzales,Ezekiel.Gonzales@school.edu,97,83.0,63,0,Redwood
37855,Participant,Carlos,Torres,Carlos.Torres@school.edu,92,89.0,89,7,Astral
37980,Participant,Elliot,Hayes,Elliot.Hayes@school.edu,75,76.0,68,9,Griffin
37969,Participant,Malik,Cortez,Malik.Cortez@school.edu,52,88.0,59,5,Phoenix
37913,Participant,Lawrence,Cervantes,Lawrence.Cervantes@school.edu,53,77.0,30,2,Redwood
37947,Participant,Ronald,Salazar,Ronald.Salazar@school.edu,74,84.0,84,4,Griffin
37890,Participant,William,Thomas,William.Thomas@school.edu,80,69.0,73,7,Vanguard
37934,Participant,Bennett,Sullivan,Bennett.Sullivan@school.edu,91,95.0,85,9,Phoenix
37973,Participant,Axel,Griffin,Axel.Griffin@school.edu,30,84.0,46,8,Redwood
37925,Participant,Malcolm,Knox,Malcolm.Knox@school.edu,23,71.0,21,9,Falcon
37866,Participant,Jonathan,Evans,Jonathan.Evans@school.edu,41,89.0,42,8,Falcon
37878,Participant,Levi,Mitchell,Levi.Mitchell@school.edu,97,84.0,93,8,Vanguard
37955,Participant,Colton,Henderson,Colton.Henderson@school.edu,96,91.0,97,0,Redwood
37972,Participant,Caleb,Davis,Caleb.Davis@school.edu,18,83.0,12,0,Falcon
37887,Participant,Charles,Diaz,Charles.Diaz@school.edu,14,81.0,6,4,Phoenix
37873,Participant,Silas,Jenkins,Silas.Jenkins@school.edu,10,93.0,8,2,Falcon
37893,Participant,Barrett,Gibson,Barrett.Gibson@school.edu,78,93.0,76,2,Griffin
37863,Participant,Patrick,Olsen,Patrick.Olsen@school.edu,35,77.0,17,4,Falcon
37850,Participant,Richard,Harrington,Richard.Harrington@school.edu,92,90.0,90,1,Redwood
37953,Participant,Blake,Sanders,Blake.Sanders@school.edu,29,86.0,23,2,Phoenix
37885,Participant,Enzo,Espinoza,Enzo.Espinoza@school.edu,82,84.0,80,0,Redwood
37879,Participant,Sterling,Hickman,Sterling.Hickman@school.edu,60,93.0,74,5,Astral
37880,Participant,Jack,Lopez,Jack.Lopez@school.edu,60,97.0,72,5,Astral
37957,Participant,Michael,Jackson,Michael.Jackson@school.edu,9,91.0,62,2,Astral
37861,Participant,Miguel,Jordan,Miguel.Jordan@school.edu,54,76.0,9,0,Griffin
38014,Participant,Bryce,Montgomery,Bryce.Montgomery@school.edu,49,81.0,36,6,Falcon
37891,Participant,Ryan,Hall,Ryan.Hall@school.edu,89,95.0,83,0,Phoenix
37860,Participant,Jaxon,Morris,Jaxon.Morris@school.edu,43,78.0,51,2,Redwood
37949,Participant,Logan,Lewis,Logan.Lewis@school.edu,57,88.0,34,4,Griffin
37911,Participant,Braxton,Warren,Braxton.Warren@school.edu,67,95.0,55,0,Astral
37987,Participant,Evan,Sanchez,Evan.Sanchez@school.edu,71,93.0,60,0,Phoenix
38001,Participant,Jason,Bailey,Jason.Bailey@school.edu,40,80.0,14,2,Redwood
37965,Participant,Tristan,James,Tristan.James@school.edu,96,94.0,81,0,Vanguard
37865,Participant,Austin,Foster,Austin.Foster@school.edu,80,93.0,73,0,Redwood
38022,Participant,Carter,Baker,Carter.Baker@school.edu,76,87.0,73,3,Redwood
37986,Participant,Bentley,Price,Bentley.Price@school.edu,19,97.0,44,4,Astral
37915,Participant,Lorenzo,Woods,Lorenzo.Woods@school.edu,45,89.0,72,4,Griffin
38002,Participant,Axel,Bennett,Axel.Bennett@school.edu,8,92.0,23,4,Phoenix
37950,Participant,Marcellus,Tovar,Marcellus.Tovar@school.edu,16,91.0,31,0,Astral
37864,Participant,Eli,Collins,Eli.Collins@school.edu,6,85.0,7,4,Griffin
37937,Participant,Mason,Wilson,Mason.Wilson@school.edu,42,83.0,15,4,Griffin
37948,Participant,Caden,Novak,Caden.Novak@school.edu,79,89.0,86,2,Redwood
37970,Participant,Tucker,Castro,Tucker.Castro@school.edu,88,95.0,81,2,Falcon
37938,Participant,Donovan,Steele,Donovan.Steele@school.edu,13,83.0,22,1,Redwood
38003,Participant,Gabriel,Lee,Gabriel.Lee@school.edu,89,92.0,58,1,Astral
37992,Participant,James,Anderson,James.Anderson@school.edu,13,83.0,12,0,Vanguard
37914,Participant,Jorge,Fox,Jorge.Fox@school.edu,84,87.0,83,0,Falcon
38008,Participant,Christopher,Clark,Christopher.Clark@school.edu,79,89.0,93,0,Astral
37904,Participant,Zane,Pena,Zane.Pena@school.edu,67,77.0,76,3,Vanguard
37909,Participant,Leo,Adams,Leo.Adams@school.edu,66,85.0,92,0,Falcon
37883,Participant,Atticus,Osborne,Atticus.Osborne@school.edu,25,65.0,19,1,Astral
37929,Participant,Sawyer,Butler,Sawyer.Butler@school.edu,12,91.0,8,3,Falcon
37985,Participant,Dominic,Barnes,Dominic.Barnes@school.edu,79,94.0,77,2,Phoenix
37945,Participant,Iker,Fisher,Iker.Fisher@school.edu,62,86.0,46,2,Griffin
37926,Participant,Easton,Bell,Easton.Bell@school.edu,92,83.0,98,3,Redwood
37872,Participant,Marcus,Hughes,Marcus.Hughes@school.edu,22,95.0,5,2,Vanguard
37941,Participant,Alexander,Taylor,Alexander.Taylor@school.edu,74,86.0,56,3,Griffin
37876,Participant,Cooper,Kelly,Cooper.Kelly@school.edu,34,88.0,58,0,Phoenix
37852,Participant,Jeremiah,Murphy,Jeremiah.Murphy@school.edu,77,78.0,65,0,Redwood
37889,Participant,Tate,Peck,Tate.Peck@school.edu,24,89.0,40,0,Phoenix
37869,Participant,Wesley,Long,Wesley.Long@school.edu,20,83.0,43,2,Redwood
37958,Participant,Harrison,Howard,Harrison.Howard@school.edu,80,87.0,97,2,Vanguard
38015,Participant,Daniel,White,Daniel.White@school.edu,27,87.0,26,3,Falcon
37882,Participant,Gideon,Shea,Gideon.Shea@school.edu,39,86.0,64,0,Phoenix
37990,Participant,David,Garcia,David.Garcia@school.edu,72,90.0,83,0,Phoenix
38004,Participant,David,Parker,David.Parker@school.edu,17,89.0,14,3,Astral
37888,Participant,Cassian,Jarvis,Cassian.Jarvis@school.edu,66,87.0,55,0,Vanguard
38021,Participant,Victor,Hodge,Victor.Hodge@school.edu,5,78.0,13,1,Redwood
37994,Participant,Maxwell,Richardson,Maxwell.Richardson@school.edu,16,84.0,17,3,Phoenix
37899,Participant,Mateo,Ramirez,Mateo.Ramirez@school.edu,1,88.0,20,3,Griffin
38012,Participant,Gabriel,Gray,Gabriel.Gray@school.edu,15,97.0,24,0,Phoenix
37900,Participant,Lucas,Robinson,Lucas.Robinson@school.edu,60,94.0,65,2,Griffin
37930,Participant,Jasper,Luna,Jasper.Luna@school.edu,4,90.0,21,2,Astral
37854,Participant,Christian,Campbell,Christian.Campbell@school.edu,4,85.0,5,0,Vanguard
38017,Participant,Oliver,Jones,Oliver.Jones@school.edu,30,62.0,18,0,Griffin
37982,Participant,Hayden,West,Hayden.West@school.edu,24,88.0,29,2,Vanguard
37877,Participant,Ethan,Williams,Ethan.Williams@school.edu,23,85.0,36,2,Phoenix
37910,Participant,Chandler,Parks,Chandler.Parks@school.edu,3,97.0,0,2,Astral
37874,Participant,Killian,Kent,Killian.Kent@school.edu,91,85.0,79,0,Falcon
37892,Participant,Hendrix,Huff,Hendrix.Huff@school.edu,77,85.0,61,0,Redwood
37896,Participant,Hunter,Roberts,Hunter.Roberts@school.edu,12,91.0,30,1,Phoenix
37884,Participant,Emmanuel,Chambers,Emmanuel.Chambers@school.edu,21,84.0,7,0,Vanguard
38020,Participant,Thomas,Carter,Thomas.Carter@school.edu,40,81.0,66,0,Astral
37976,Participant,Cole,Stewart,Cole.Stewart@school.edu,15,83.0,18,0,Vanguard
38000,Participant,Oscar,Reynolds,Oscar.Reynolds@school.edu,98,89.0,67,0,Redwood
37978,Participant,Isaac,Nelson,Isaac.Nelson@school.edu,80,87.0,82,0,Vanguard
37983,Participant,Jude,Graham,Jude.Graham@school.edu,34,82.0,66,1,Vanguard
38018,Participant,Phillip,Lozano,Phillip.Lozano@school.edu,1,88.0,5,0,Griffin
37849,Participant,Graham,Glenn,Graham.Glenn@school.edu,63,64.0,64,1,Vanguard
37999,Participant,Lucian,Wu,Lucian.Wu@school.edu,56,96.0,42,0,Redwood
37851,Participant,Spencer,Woodward,Spencer.Woodward@school.edu,8,82.0,6,1,Vanguard
37954,Participant,Zayn,Gould,Zayn.Gould@school.edu,32,87.0,24,0,Falcon
37922,Participant,Cole,Brooks,Cole.Brooks@school.edu,49,83.0,58,0,Vanguard
37946,Participant,Tyson,Bush,Tyson.Bush@school.edu,25,85.0,12,0,Redwood
38019,Participant,Sebastian,Gonzalez,Sebastian.Gonzalez@school.edu,68,91.0,88,0,Astral
37975,Participant,Maximus,Cole,Maximus.Cole@school.edu,44,88.0,20,0,Griffin
37959,Participant,Matthew,Martin,Matthew.Martin@school.edu,85,94.0,69,0,Phoenix
37868,Participant,River,Ellis,River.Ellis@school.edu,33,83.0,38,0,Griffin
37963,Participant,Dominic,Rogers,Dominic.Rogers@school.edu,48,92.0,74,0,Falcon
37870,Participant,Lucius,Franco,Lucius.Franco@school.edu,88,82.0,87,0,Falcon
37996,Participant,Adrian,Cook,Adrian.Cook@school.edu,85,89.0,89,0,Phoenix
37967,Participant,Damian,Harrison,Damian.Harrison@school.edu,100,85.0,92,0,Redwood
37927,Participant,Benjamin,Miller,Benjamin.Miller@school.edu,69,89.0,70,1,Vanguard
38005,Participant,Anders,Crosby,Anders.Crosby@school.edu,33,91.0,53,0,Griffin
37964,Participant,Aiden,Brown,Aiden.Brown@school.edu,28,88.0,17,0,Phoenix
37993,Participant,Brody,Flores,Brody.Flores@school.edu,82,87.0,84,0,Falcon
37981,Participant,Flynn,Stuart,Flynn.Stuart@school.edu,93,89.0,99,0,Falcon
37940,Participant,Andrew,Martinez,Andrew.Martinez@school.edu,73,92.0,96,0,Falcon
37939,Participant,Elias,Cooper,Elias.Cooper@school.edu,14,84.0,53,0,Falcon
37897,Participant,Chase,Wood,Chase.Wood@school.edu,10,85.0,51,0,Griffin
37919,Participant,Dylan,Scott,Dylan.Scott@school.edu,75,78.0,61,0,Griffin
38016,Participant,Anthony,Hill,Anthony.Hill@school.edu,11,86.0,18,0,Redwood
37856,Participant,Titus,Serrano,Titus.Serrano@school.edu,31,89.0,37,0,Vanguard
37918,Participant,Ignatius,Gaines,Ignatius.Gaines@school.edu,34,96.0,44,0,Astral
37977,Participant,Owen,Hernandez,Owen.Hernandez@school.edu,51,88.0,47,0,Redwood
37908,Participant,Kingston,Hamilton,Kingston.Hamilton@school.edu,12,86.0,60,0,Falcon
37995,Participant,Julian,King,Julian.King@school.edu,68,94.0,66,0,Astral
37912,Participant,Leo,Brewer,Leo.Brewer@school.edu,55,85.0,41,1,Phoenix
38011,Participant,Kieran,Pruitt,Kieran.Pruitt@school.edu,84,94.0,78,0,Astral
37905,Participant,Henry,Wright,Henry.Wright@school.edu,27,92.0,36,0,Phoenix
37881,Participant,Jesse,Hawkins,Jesse.Hawkins@school.edu,26,79.0,9,0,Redwood
37944,Participant,Jaxson,Washington,Jaxson.Washington@school.edu,67,89.0,30,0,Vanguard
37907,Participant,Jonah,Russell,Jonah.Russell@school.edu,62,76.0,31,0,Redwood
37924,Participant,Nolan,Morgan,Nolan.Morgan@school.edu,69,85.0,64,0,Phoenix
37960,Participant,Thaddeus,Noble,Thaddeus.Noble@school.edu,94,84.0,81,0,Griffin
38009,Participant,Jett,Nguyen,Jett.Nguyen@school.edu,20,86.0,13,0,Astral
37931,Participant,Cole,Ward,Cole.Ward@school.edu,96,79.0,75,0,Astral
37923,Participant,Wilson,Zan,Wilson.Zan@school.edu,49,,50,0,Griffin
